date,home,away,score,hs,away_score,result,fav,called,p_home,p_draw,p_away,p_actual,rps,goals,margin,venue
2026-06-11,Mexico,South Africa,2-0,2,0,home,home,True,0.7597,0.1611,0.0793,0.7597,0.032,2,2,Mexico City
2026-06-11,South Korea,Czech Republic,2-1,2,1,home,home,True,0.4774,0.2616,0.261,0.4774,0.1706,3,1,Zapopan
2026-06-12,Canada,Bosnia and Herzegovina,1-1,1,1,draw,home,False,0.6533,0.2199,0.1268,0.2199,0.2214,2,0,Toronto
2026-06-12,United States,Paraguay,4-1,4,1,home,away,False,0.3321,0.3015,0.3665,0.3321,0.2902,5,3,Inglewood
2026-06-13,Qatar,Switzerland,1-1,1,1,draw,away,False,0.0673,0.1267,0.8059,0.1267,0.3271,2,0,Santa Clara
2026-06-13,Brazil,Morocco,1-1,1,1,draw,home,False,0.4784,0.2951,0.2265,0.2951,0.1401,2,0,East Rutherford
2026-06-13,Haiti,Scotland,0-1,0,1,away,away,True,0.2102,0.2371,0.5528,0.5528,0.1221,1,1,Foxborough
2026-06-13,Australia,Turkey,2-0,2,0,home,home,True,0.3817,0.2708,0.3475,0.3817,0.2515,2,2,Vancouver
2026-06-14,Germany,Curacao,7-1,7,1,home,home,True,0.9027,0.0694,0.0279,0.9027,0.0051,8,6,Houston
2026-06-14,Ivory Coast,Ecuador,1-0,1,0,home,away,False,0.198,0.3027,0.4993,0.198,0.4463,1,1,Philadelphia
2026-06-14,Netherlands,Japan,2-2,2,2,draw,home,False,0.3991,0.2722,0.3287,0.2722,0.1337,4,0,Arlington
2026-06-14,Sweden,Tunisia,5-1,5,1,home,home,True,0.4084,0.2915,0.3002,0.4084,0.22,6,4,Guadalupe
2026-06-15,Belgium,Egypt,1-1,1,1,draw,home,False,0.5932,0.2476,0.1592,0.2476,0.1886,2,0,Seattle
2026-06-15,Iran,New Zealand,2-2,2,2,draw,home,False,0.6446,0.2302,0.1252,0.2302,0.2156,4,0,Inglewood
2026-06-15,Spain,Cape Verde,0-0,0,0,draw,home,False,0.9161,0.0645,0.0194,0.0645,0.4198,0,0,Atlanta
2026-06-15,Saudi Arabia,Uruguay,1-1,1,1,draw,away,False,0.0998,0.2267,0.6736,0.2267,0.2318,2,0,Miami Gardens
2026-06-16,France,Senegal,3-1,3,1,home,home,True,0.588,0.2411,0.1709,0.588,0.0995,4,2,East Rutherford
2026-06-16,Iraq,Norway,1-4,1,4,away,away,True,0.1246,0.2177,0.6577,0.6577,0.0663,5,3,Foxborough
2026-06-16,Argentina,Algeria,3-0,3,0,home,home,True,0.7163,0.1863,0.0974,0.7163,0.045,3,3,Kansas City
2026-06-16,Austria,Jordan,3-1,3,1,home,home,True,0.6178,0.2249,0.1573,0.6178,0.0854,4,2,Santa Clara
2026-06-17,Portugal,DR Congo,1-1,1,1,draw,home,False,0.75,0.1739,0.0761,0.1739,0.2841,2,0,Houston
2026-06-17,Uzbekistan,Colombia,1-3,1,3,away,away,True,0.1079,0.2078,0.6844,0.6844,0.0557,4,2,Mexico City
2026-06-17,England,Croatia,4-2,4,2,home,home,True,0.5549,0.2582,0.1869,0.5549,0.1165,6,2,Arlington
2026-06-17,Ghana,Panama,1-0,1,0,home,away,False,0.2792,0.2563,0.4645,0.2792,0.3677,1,1,Toronto
